CancerType	Gene	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
ACC	ACOXL-AS1	0.370810185939937	0.989471973692443	0.195545054121416	0.32199509126558	1	0.0182839663464254	1	0.162493211314133	0.404599795079927	0.102380857518021	0.516030802851768	0.951633050519829	0.0297690769231281	0.775451567437272	0.976818352082049	0.58161334172553	0.495730087803515	0.357095096461451	0.0315768019053239	0.0156484011712863	0.0276942501924333	0.209653846995284
BLCA	ACOXL-AS1	0.00203121106976926	0.104439022413157	0.00164029947363903	0.369526515965109	1	0.820414888092105	7.70669186384488e-05	0.471851095806795	1.66399655822337e-11	0.276447679434004	0.658970284229334	6.26150850946953e-05	0.0162357761753014	0.00990089428209563	0.00108666060241936	0.351878034221772	0.344428600835167	0.114909046291575	0.727320925235091	0.743678881738978	0.664084820839321	1.3106147983812e-06
BRCA	ACOXL-AS1	6.68109552116438e-05	0.332582543714045	0.0479447586288897	0.75270912001108	1	0.0171256252170318	7.97679231996625e-10	0.0190988066500157	0.0545096480544922	0.0553849760532088	1	6.14336576234677e-05	0.153660636136735	3.59072427284233e-05	0.000634875699698413	0.086499410219703	0.492570535091635	1.43583316876524e-09	0.0259600710751107	1	1	0.000912535874368904
CESC	ACOXL-AS1	0.00187958925278633	0.00058509489238097	0.181249786633776	0.869333248747633	1	0.085952440413672	0.000879933454970763	0.3854322190076	0.110260654522362	0.499980028197365	0.173957146570858	0.552039600210767	0.699544739839446	0.0203563129930139	0.0568574978987585	0.177542219340931	0.676769393456738	0.2144772703635	0.0892843961303579	0.142393271808755	1	0.0324772867762946
CHOL	ACOXL-AS1	0.138501772208615	0.923305087981286	0.179916111957353	0.456406664460435	1	0.16711407693195	0.118029105300442	0.471820568829765	0.493212297066209	1	1	0.262144894102035	0.448625383926539	0.882042947044134	0.668510674240499	0.726456169887439	0.50496106500001	0.53297285493511	0.4874723386485	0.474061465518744	1	0.391454517061646
COAD	ACOXL-AS1	0.317957637202818	0.50372517187313	0.601635196784046	0.632674239388043	1	0.892274335254687	0.107968243567027	0.709050596878292	0.28198253274061	1	0.0733467607696034	0.498037695739177	0.564623596563493	0.00812663737206202	0.15978973282819	0.0551543744358427	0.253890672422988	0.752211278616798	0.281863556538166	0.316595895330611	0.788302006929224	0.721191230894376
DLBC	ACOXL-AS1	0.266828668574298	0.881002233577238	1	0.554744787783201	1	0.120765453776848	0.504562427931732	0.680907911458588	0.524315592274837	0.777082684958739	1	0.391933661332078	0.7666396555885	0.193020797249023	0.0294679345917386	0.309448805943807	0.719794802083571	0.885024118051278	0.789713314803909	1	1	1
ESCA	ACOXL-AS1	0.00724829615752127	0.0165580382917383	0.0634060827105151	0.853218364391666	1	0.135638295956565	0.615323960481645	0.108809066566343	0.161174962715785	1	0.690545763976658	0.309896240037153	0.122831872775621	0.156548234021709	0.365823933441404	0.0699244754044421	0.441559493981489	0.0262176879968503	0.588847710229818	0.16500528675443	1	0.519640233474164
GBM	ACOXL-AS1	0.229538668549562	0.785968007150206	0.732819498350159	0.339887655847224	1	0.0993343788226199	0.637155304538524	0.940713401358773	1	0.026967465040425	0.375967449781428	0.409514975359178	0.425376548957994	0.137670607632351	0.602509451193803	0.135910270430888	0.362046872624761	1	0.767882657925067	0.986015526649123	0.0970333335076122	0.896628002466398
HNSC	ACOXL-AS1	0.000402009952757595	0.083354082692189	0.00881887647120951	0.00596440322846222	1	0.319561247648781	0.405541880946122	0.129926383276548	0.000466888021176146	1	0.954152669402529	0.00800251821413657	0.489866715100739	0.0786274828565746	0.0021514018568209	0.995906105814824	0.700549197544906	6.42495578345641e-05	0.229611529943139	0.00614081526095746	1	1.08963703052334e-05
KICH	ACOXL-AS1	0.573320243033821	1	0.318079899784864	0.298965713254234	1	0.0167827602924494	1	0.722463618737999	0.99402384214845	0.566568145330712	0.980698095857141	0.300963680249271	0.106408275744032	0.136995568846583	0.980281558494043	0.202919409971233	0.867175248911239	0.450315332015632	0.00210118907287585	1	0.0116909460003778	0.0872932754635275
KIRC	ACOXL-AS1	0.894936677761596	0.259723703263121	0.895748643659297	0.436351454036309	1	0.323576357049763	0.0203583489806483	0.944957987629899	0.700002539803319	0.00207776573506568	0.00147009143667937	0.185184994842989	0.0257919140312396	0.622508908224141	0.772478756415436	0.478452619862141	0.522765745058429	0.0191997023748646	0.296135369574862	1	1	0.00796318030525402
KIRP	ACOXL-AS1	0.0129332507635412	0.255878282423808	0.215195371285975	0.0088686408943419	1	2.26924951561686e-06	0.000207097018372718	0.00336015583058359	0.403958999800453	1	0.396483775478256	0.666824101274633	0.87389470863406	0.232030977402425	1.88539272405484e-14	0.985168987416392	0.755051687600007	0.0109687462553338	6.6326301110763e-06	1	1	0.509552200088034
LAML	ACOXL-AS1	0.196520779721999	0.340455923852741	0.0181738611003784	0.420301759350916	0.498430384759922	0.490045063806574	0.352201424199037	1	1	0.60891165083391	0.931560612299218	0.753497888550409	0.696655386325165	1	1	0.854792108215553	1	1	0.128809525862488	1	0.224031106281677	0.567012548344014
LGG	ACOXL-AS1	0.475735042061412	0.980718841231708	1	0.0482479205353848	1	0.000471835334799028	1	0.48894539020549	1	1	0.332295770559646	0.26084780927969	0.000136187674036262	0.000730376018219881	9.04043807539694e-08	0.188207646633527	0.20994464640873	1	0.0106662859025306	0.0065927964979924	0.47822329888965	0.815774565368559
LIHC	ACOXL-AS1	0.0562207923090016	1	0.870237299203077	0.0830810577049366	1	0.020067541468224	0.112277342253162	0.580580096858841	0.162403171938202	0.267835053159014	0.158366399902661	0.485247909726311	0.0214745180612837	0.990999189021559	0.47088886532266	0.427794643828094	0.790343406408814	0.541277135422539	0.406449549116553	1	1	0.556773074343953
LUAD	ACOXL-AS1	0.201722140014622	0.634731903751377	0.239319976043013	0.000100954343395519	1	5.58222751780906e-09	3.45918368017105e-10	0.432913586094349	0.420441224280033	0.66893394010239	1	0.000114680608863295	0.259565453003171	0.00505102258085811	7.80160608580501e-05	0.888390023208236	0.00677373008649787	0.0450613690050224	3.27167413580857e-10	1	0.590373869129668	1.31609939525824e-05
LUSC	ACOXL-AS1	0.0110940880426847	0.133228864039047	0.511988615998713	0.727435799585385	1	0.43477922068221	0.0345497431839232	0.316539909291286	0.613271082176774	1	0.692159080532195	0.729212574212041	0.285820625055878	0.0716070406354852	0.000246883083364663	0.720374145604159	0.497669837687476	0.890438783421049	0.00118198644657241	0.0258111788678375	0.669062210241197	0.101645292796573
MESO	ACOXL-AS1	0.634459390738605	0.645160667720891	0.372364577442323	0.0490262343739842	1	0.193184386150505	0.0287900831776503	0.795818943489664	0.278249850406957	1	1	0.89749621333865	0.177373738500989	0.0922352796099126	0.618117741913085	0.911222943141161	0.0417607718717104	0.101213407212994	0.395298212158051	1	1	0.160551926058186
OV	ACOXL-AS1	0.488698792649624	0.690041869852861	0.544156532599622	0.844297391977167	1	0.568887820159471	0.396800419357301	0.415421473565874	0.705932185949623	0.831545975117668	1	0.431892177732207	0.0916954855878301	0.622021549703625	0.229422368773526	0.166732110184515	0.496834719097505	0.57658287098479	0.0301195534767279	0.997991155860931	1	0.0345217066907564
PAAD	ACOXL-AS1	0.155892906908757	0.670783771594832	0.0226762716998985	0.0324538766339421	1	0.00400308156629042	0.702984638150805	0.0564459140857676	0.0939741445282795	1	0.174874051689947	0.857962994358591	0.155012556838251	0.16120176954951	0.795532092428149	0.578821716874701	0.764749355853514	0.268965893222524	0.361414387306338	1	1	0.341315323524887
PCPG	ACOXL-AS1	0.0165308544454116	0.741542376698119	0.0573409253334874	0.0928332063054971	1	0.597404096310591	0.223274690887146	0.754233610206368	0.528657811276974	1	0.0188471029361818	0.933228109879643	0.442841722880224	0.421843300614613	0.339981235220928	0.354279773295254	0.306229719242814	0.111616452659552	0.131121375602207	0.620208251581716	0.604049311015496	0.471914858855282
PRAD	ACOXL-AS1	0.404588968409809	0.0445037668287226	0.468761303645515	0.137858685965508	1	0.0594988166715945	0.491363328566933	0.0218515378427259	0.129704421674994	1	1	0.869194054478985	0.0750858813459577	0.380798834662485	0.111787793896741	0.00720817996051436	0.138051046937558	0.396683646785711	0.897717182993003	1	1	1
READ	ACOXL-AS1	0.263201758796634	0.413090256502349	0.499105844973846	0.403529447798305	1	0.650219162624832	0.0373437649944626	0.0644489062536302	0.117723837924552	1	0.989494656393195	0.508562637226514	0.373833382223947	0.032219717314309	0.628107645501211	0.873587196874299	0.0813664337644896	0.249193660535453	0.980022408128341	0.992823459855608	0.824911098645834	0.245862347284445
SARC	ACOXL-AS1	0.598919818322841	1	0.316338574410075	0.698024213299528	1	0.546135511366141	0.0256949031316887	0.43282210206019	0.292481243783577	0.5566379814793	1	0.997076772364568	0.513785609587294	0.0582977435050499	0.773339490283595	0.882489429799533	0.0864295796033067	0.402829306533133	0.014645756537663	0.577906869056197	1	1
SKCM	ACOXL-AS1	0.29197319167837	0.327079775216848	0.019593363290089	0.727882846689764	1	0.179318161807668	0.21388615418109	0.569672416857159	0.256601962965266	0.964743675097212	0.461116801503581	0.752505179214516	0.639856239717546	0.00583863013826272	0.173529551191439	0.385831452500081	0.487777807688578	0.109432986097327	0.60681505452467	0.0412523171520822	1	0.00285548587932118
STAD	ACOXL-AS1	0.000361657612586214	0.534370273501444	0.202151677020966	0.241919959956894	1	0.652850815149952	0.314562188438175	0.880788450821262	0.0574636820107496	1	0.874676648906407	0.0107643440712813	0.247392013933926	0.7410173719692	0.843886068611974	0.0681816945830909	0.532529300763708	0.237278477101634	0.074366283727255	0.0673264772176478	0.250183336254197	5.41218353899624e-05
