CancerType	Gene	StromalScore	ImmuneScore
ACC	ACOXL-AS1	0.00380777969181076	0.0210001910620707
BLCA	ACOXL-AS1	8.21356562214699e-12	1.93167297819883e-15
BRCA	ACOXL-AS1	0.984714538324613	0.000221331661543691
CESC	ACOXL-AS1	0.319837927127169	0.00253099683565289
CHOL	ACOXL-AS1	0.184952944910947	0.602155628929695
COAD	ACOXL-AS1	0.000622835071954288	0.0128224528531909
DLBC	ACOXL-AS1	0.910198578783709	0.365944115148134
ESCA	ACOXL-AS1	0.408586509106099	0.433127636542874
GBM	ACOXL-AS1	0.0115315769740043	0.000556235867132642
HNSC	ACOXL-AS1	0.0567608694663846	0.177782101144493
KICH	ACOXL-AS1	0.0478445213733587	0.0277426518278685
KIRC	ACOXL-AS1	0.000632733282020449	0.00218773950023851
KIRP	ACOXL-AS1	0.000792986634868352	0.00147434545955272
LAML	ACOXL-AS1	0.0370540341200052	0.0584767944965949
LGG	ACOXL-AS1	0.00189156844016327	0.0467874973820157
LIHC	ACOXL-AS1	0.0223522406360158	0.00118759466311104
LUAD	ACOXL-AS1	0.913574307127879	0.586734604509092
LUSC	ACOXL-AS1	0.966565861218236	0.461116221248035
MESO	ACOXL-AS1	0.00416265416852648	0.000257406405531452
OV	ACOXL-AS1	0.000216517432773526	9.39555044318126e-06
PAAD	ACOXL-AS1	0.63502135587652	0.514640198723413
PCPG	ACOXL-AS1	0.0333893188250923	0.028995841260713
PRAD	ACOXL-AS1	0.000589143623196508	0.00139849705822669
READ	ACOXL-AS1	0.113801957235531	0.472670589446469
SARC	ACOXL-AS1	0.000159651464890712	0.00123798883741129
SKCM	ACOXL-AS1	0.0207475448608033	0.182718818880212
STAD	ACOXL-AS1	0.525248335512871	0.0609763853377242
TGCT	ACOXL-AS1	0.847810793063207	0.962875127789129
THCA	ACOXL-AS1	0.00135567692081102	1.76300968662416e-10
THYM	ACOXL-AS1	0.463085856432859	0.0483366298772996
UCEC	ACOXL-AS1	0.312861377429559	1.03868973747436e-06
UCS	ACOXL-AS1	0.192856508970881	0.179918184996857
UVM	ACOXL-AS1	0.180085586071132	0.0847279640217749
